no,subject,phase,source,ref,text,verdict,correct_phase
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","감전재해를 비롯한 각종 산업재해에 따른 신속한 응급처치를 할 수 있도록 근로자들을 교육하는 일","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","굴착방법 및 순서, 토사등 반출 방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","필요한 인원 및 장비 사용계획","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","매설물 등에 대한 이설ㆍ보호대책","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","사업장 내 연락방법 및 신호방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","흙막이 지보공 설치방법 및 계측계획","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","작업지휘자의 배치계획","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(이름매칭)","제38조제1항 · 굴착작업","그 밖에 안전ㆍ보건에 관련된 사항","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(사전조사·이름매칭)","굴착작업","형상ㆍ지질 및 지층의 상태","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(사전조사·이름매칭)","굴착작업","균열ㆍ함수(含水)ㆍ용수 및 동결의 유무 또는 상태","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(사전조사·이름매칭)","굴착작업","매설물 등의 유무 또는 상태","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PLAN","별표 4(사전조사·이름매칭)","굴착작업","지반의 지하수위 상태","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","안전한 작업방법을 결정하고 작업을 지휘하는 일","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","재료·기구의 결함 유무를 점검하고 불량품을 제거하는 일","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","작업 중 안전대 및 안전모 등 보호구 착용 상황을 감시하는 일","ok",""
"절2 굴착작업 등의 위험 방지 > 관1 노천굴착작업","굴착작업 등의 위험 방지 > 노천굴착작업","PRECHECK","조문(전용)","제338조","굴착작업 사전조사 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","PLAN","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","ASSIGN","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","PRECHECK","조문(절 총칙)","제338조","굴착작업 사전조사 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","EXEC","조문(절 총칙)","제339조","굴착면의 붕괴 등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","EXEC","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관2 발파작업의 위험방지","굴착작업 등의 위험 방지 > 발파작업의 위험방지","EXEC","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","PLAN","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","ASSIGN","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","ASSIGN","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","PRECHECK","조문(절 총칙)","제338조","굴착작업 사전조사 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(전용)","제354조","굴착기계등의 사용 금지 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(절 총칙)","제339조","굴착면의 붕괴 등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(절 총칙)","제340조","굴착작업 시 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관3 터널작업","굴착작업 등의 위험 방지 > 터널작업","EXEC","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업 방법 및 순서","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","부재(部材)의 낙하ㆍ전도 또는 붕괴를 방지하기 위한 방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업에 종사하는 근로자의 추락 위험을 방지하기 위한 안전조치 방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","공사에 사용되는 가설 철구조물 등의 설치ㆍ사용ㆍ해체 시 안전성 검토 방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","사용하는 기계 등의 종류 및 성능, 작업방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업지휘자 배치계획","ok",""
"절2 굴착작업 등의 위험 방지 > 관4 교량작업","굴착작업 등의 위험 방지 > 교량작업","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","그 밖에 안전ㆍ보건에 관련된 사항","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","노천굴착과 갱내굴착의 구별 및 채석방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","굴착면의 높이와 기울기","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","굴착면 소단(小段: 비탈면의 경사를 완화시키기 위해 중간에 좁은 폭으로 설치하는 평탄한 부분)의 위치와 넓이","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","갱내에서의 낙반 및 붕괴방지 방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","발파방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","암석의 분할방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","암석의 가공장소","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","사용하는 굴착기계ㆍ분할기계ㆍ적재기계 또는 운반기계(이하 ""굴착기계등""이라 한다)의 종류 및 성능","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","토석 또는 암석의 적재 및 운반방법과 운반경로","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(이름매칭)","제38조제1항 · 채석작업","표토 또는 용수(湧水)의 처리방법","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","별표 4(사전조사·이름매칭)","채석작업","지반의 붕괴ㆍ굴착기계의 굴러 떨어짐 등에 의한 근로자에게 발생할 위험을 방지하기 위한 해당 작업장의 지형ㆍ지질 및 지층의 상태","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PLAN","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","ASSIGN","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","off",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","ASSIGN","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","PRECHECK","조문(절 총칙)","제338조","굴착작업 사전조사 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","EXEC","조문(절 총칙)","제339조","굴착면의 붕괴 등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","EXEC","조문(절 총칙)","제340조","굴착작업 시 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","EXEC","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","off",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","EXEC","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관5 채석작업","굴착작업 등의 위험 방지 > 채석작업","EXEC","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","PLAN","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","ASSIGN","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","off",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","ASSIGN","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","PRECHECK","조문(절 총칙)","제338조","굴착작업 사전조사 등","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","EXEC","조문(절 총칙)","제339조","굴착면의 붕괴 등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","EXEC","조문(절 총칙)","제340조","굴착작업 시 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","EXEC","조문(절 총칙)","제341조","매설물 등 파손에 의한 위험방지","off",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","EXEC","조문(절 총칙)","제342조","굴착기계등에 의한 위험방지","ok",""
"절2 굴착작업 등의 위험 방지 > 관6 잠함 내 작업 등","굴착작업 등의 위험 방지 > 잠함 내 작업 등","EXEC","조문(절 총칙)","제344조","굴착기계등의 유도","ok",""
